cod_com,Apruebo,Rechazo,Blancos,Nulos
1101,60976,18855,114,275
1107,21373,4608,46,102
1401,3730,1076,8,29
1402,293,207,2,11
1403,131,374,3,16
1404,1136,379,6,8
1405,1769,646,4,16
2101,119982,23532,129,430
2102,4572,533,7,16
2103,749,104,0,3
2104,4072,565,9,19
2201,52113,10259,93,361
2202,317,61,0,1
2203,2911,398,12,16
2301,9210,1023,17,37
2302,1938,187,5,8
3101,51042,9635,64,230
3102,6812,1125,12,74
3103,5084,660,15,26
3201,5185,544,16,19
3202,4886,499,8,17
3301,18485,2463,37,90
3302,1559,241,8,9
3303,2465,221,1,14
3304,3808,404,6,18
4101,73254,16536,106,237
4102,68738,12572,102,279
4103,5450,582,13,26
4104,1345,206,4,9
4105,1958,442,6,8
4106,9483,1308,21,45
4201,11166,1382,29,56
4202,3320,433,12,16
4203,7679,1153,19,24
4204,8984,1470,16,53
4301,34181,5898,89,170
4302,4428,614,15,17
4303,9845,1275,23,56
4304,3627,505,16,27
4305,1353,266,10,9
5101,122078,25405,199,490
5102,9148,2292,16,52
5103,15705,8573,32,74
5104,377,62,0,0
5105,7243,1372,24,19
5107,10452,2400,21,70
5109,116872,43313,396,492
5201,2292,416,7,11
5301,25366,5773,37,100
5302,5607,955,10,37
5303,4365,1036,15,18
5304,7115,1462,15,46
5401,13580,2340,24,57
5402,7948,1100,16,35
5403,2779,701,5,13
5404,4146,458,15,20
5405,3250,1643,3,13
5501,30871,7933,47,142
5502,20625,3451,45,94
5503,6338,1266,16,28
5504,6989,1988,7,22
5506,9519,1221,25,46
5601,38979,4939,34,100
5602,4932,2118,13,23
5603,7346,1700,11,18
5604,5643,1550,13,35
5605,4675,1142,6,19
5606,4003,2583,15,22
5701,27101,6123,45,127
5702,9148,2292,16,52
5703,10284,1275,15,51
5704,2858,718,3,12
5705,6222,968,24,32
5706,5346,1085,8,28
5801,57468,16247,72,270
5802,15572,4531,41,77
5803,5856,1972,11,39
5804,41109,12054,56,162
6101,87526,19154,275,325
6102,5034,871,6,21
6103,2616,701,7,22
6104,6177,1340,16,34
6105,7987,1393,14,29
6106,12968,2230,32,62
6107,7187,1426,19,36
6108,16398,4461,35,43
6109,4246,1149,13,27
6110,9673,1712,21,32
6111,5121,1336,11,17
6112,5355,843,14,18
6113,5350,1080,19,22
6114,5504,929,10,17
6115,20433,4264,51,101
6116,9428,2589,20,40
6117,16379,3426,38,54
6201,6173,1407,9,29
6202,1158,315,3,8
6203,1971,547,4,7
6204,2408,499,8,11
6205,2322,568,10,14
6206,1974,467,9,21
6301,26045,7134,41,87
6302,3774,1119,5,17
6303,11218,2598,22,64
6304,1815,593,10,15
6305,5840,1187,9,23
6306,3500,822,6,8
6307,3608,911,6,15
6308,3222,703,5,15
6309,1222,342,4,6
6310,10240,3232,29,55
7101,74985,21588,304,259
7102,14325,3879,35,75
7103,2793,736,16,15
7104,821,676,7,9
7105,8355,2454,16,52
7106,2589,783,4,15
7107,2928,1219,4,18
7108,3655,1087,25,29
7109,11647,3102,47,95
7110,2935,796,11,14
7201,8227,4699,61,75
7202,1713,1058,18,21
7203,1944,952,7,14
7301,48391,14296,105,220
7302,3300,784,10,24
7303,2412,492,9,16
7304,15425,3657,26,69
7305,3230,956,8,23
7306,4558,1856,8,30
7307,6256,1335,14,52
7308,8028,2258,25,45
7309,1566,649,8,9
7401,25896,9813,48,123
7402,5375,1504,18,27
7403,5457,2346,15,41
7404,10252,4520,37,88
7405,3583,1566,25,32
7406,11301,4022,38,66
7407,3774,1628,11,22
7408,3881,1675,15,35
8101,77042,27049,104,338
8102,33463,10538,100,202
8103,29875,8239,48,147
8104,2612,1110,12,23
8105,7378,1944,39,59
8106,17050,5733,62,145
8107,18663,4342,38,92
8108,36103,13305,65,159
8109,3541,1532,23,45
8110,51933,15589,99,244
8111,17793,5568,56,101
8112,34360,8859,67,193
8201,5630,2786,29,79
8202,10377,3986,44,60
8203,7038,3405,30,50
8204,1149,933,3,9
8205,9807,3229,38,84
8206,4186,2401,28,35
8207,2100,937,23,37
8301,43288,24961,168,323
8302,1341,431,4,17
8303,6858,3118,32,47
8304,7030,2202,26,69
8305,7252,2760,52,72
8306,7267,3060,29,47
8307,2287,1361,19,37
8308,1122,408,6,18
8309,2203,998,16,23
8310,1591,351,4,12
8311,3257,1346,21,30
8312,3939,1267,20,29
8313,5246,2149,25,56
8314,1269,424,43,69
9101,78332,38257,166,351
9102,4978,2220,25,39
9103,4090,1914,31,47
9104,1740,891,12,12
9105,5198,2401,20,51
9106,2472,995,24,82
9107,3290,2084,20,25
9108,8037,4783,22,68
9109,6125,2072,13,27
9110,1542,654,18,15
9111,8765,3218,34,83
9112,16769,6977,67,140
9113,1778,757,7,11
9114,5566,2947,10,44
9115,8176,3140,23,37
9116,2960,1000,27,34
9117,3026,1742,23,28
9118,2126,1213,29,30
